"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"AFI","AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED","1962-06-30","Not Applic",9267186435
"AFL","AF LEGAL GROUP LTD","2003-09-19","Commercial & Professional Services",10605791
"AFP","AFT PHARMACEUTICALS LIMITED","2015-12-22","Pharmaceuticals, Biotechnology & Life Sciences",356545284
"AFW","APPLYFLOW LIMITED","2010-11-30","Media & Entertainment",3844897
"AGC","AUSTRALIAN GOLD AND COPPER LTD","2021-01-20","Materials",6000000
"AGD","AUSTRAL GOLD LIMITED","1997-04-18","Materials",23880143
"AGE","ALLIGATOR ENERGY LIMITED","2011-02-03","Energy",125524133
"AGG","ANGLOGOLD ASHANTI LIMITED","1999-11-16","Materials",11181046840
"AGH","ALTHEA GROUP HOLDINGS LIMITED","2018-09-21","Pharmaceuticals, Biotechnology & Life Sciences",21597513
"AGI","AINSWORTH GAME TECHNOLOGY LIMITED","2001-12-17","Consumer Services",362053474
"AGL","AGL ENERGY LIMITED.","2006-10-12","Utilities",5476162477
"AGN","ARGENICA THERAPEUTICS LIMITED","2021-06-11","Pharmaceuticals, Biotechnology & Life Sciences",39984235
"AGR","AGUIA RESOURCES LIMITED","2008-02-13","Materials",22854665
"AGY","ARGOSY MINERALS LIMITED","1997-04-03","Materials",814556349
"AHC","AUSTCO HEALTHCARE LIMITED","2004-09-24","Health Care Equipment & Services",33328994
"AHF","AUSTRALIAN DAIRY NUTRITIONALS LIMITED","2006-06-30","Food, Beverage & Tobacco",25538382
"AHI","ADVANCED HEALTH INTELLIGENCE LTD","2015-08-17","Software & Services",18625127
"AHK","ARK MINES LIMITED","2011-05-09","Materials",8923144
"AHL","ADRAD HOLDINGS LIMITED","2022-09-30","Automobiles & Components",96784182
"AHN","ATHENA RESOURCES LIMITED","2006-11-22","Materials",7834208
"AHQ","ALLEGIANCE COAL LIMITED","2012-05-29","Materials",41200733
"AHX","APIAM ANIMAL HEALTH LIMITED","2015-12-15","Health Care Equipment & Services",112660540
"AIA","AUCKLAND INTERNATIONAL AIRPORT LIMITED","1999-02-22","Transportation",11176663130
"AIB","AURORA GLOBAL INCOME TRUST","2007-12-24","Not Applic","N/A"
"AII","ALMONTY INDUSTRIES INC.","2021-08-02","Materials",150932277
"AIM","AI-MEDIA TECHNOLOGIES LIMITED","2020-09-15","Commercial & Professional Services",69763459
"AIQ","ALTERNATIVE INVESTMENT TRUST","2005-05-08","Not Applic",38152614
"AIS","AERIS RESOURCES LIMITED","2011-02-02","Materials",380020077
"AIV","ACTIVEX LIMITED","2006-04-11","Materials",8426051
"AIZ","AIR NEW ZEALAND LIMITED","1997-10-01","Transportation",2442136629
"AJJ","ASIAN AMERICAN MEDICAL GROUP LIMITED","2007-03-19","Health Care Equipment & Services","N/A"
"AJL","AJ LUCAS GROUP LIMITED","1999-08-10","Capital Goods",44023348
"AJQ","ARMOUR ENERGY LIMITED","2012-04-26","Energy",15157988
"AJX","ALEXIUM INTERNATIONAL GROUP LIMITED","1999-12-22","Materials",10973960
"AJY","ASAPLUS RESOURCES LIMITED","2012-11-16","Materials",2720000
"AKE","ALLKEM LIMITED","2007-12-04","Materials",7473352768
